model	language	cultural	cue	P(Answerable)
qwen	korean	specific_ko	holiday	0.33769464285714285
qwen	korean	specific_zh	fashion	0.1825160714285714
qwen	chinese	specific_ko	music	0.25896249999999993
llama	english	specific_ko_code_switch	food	0.3610089285714286
qwen	chinese	agnostic	fashion	0.3379552631578947
qwen	korean	specific_en	holiday	0.2177137931034483
qwen	chinese	specific_ko	eduction	0.34084642857142855
llama	english	agnostic	statue	0.9618894736842107
llama	english	specific_zh_code_switch	connection	0.3264678571428571
llama	korean	specific_ko	nationality	0.886085714285714
llama	english	specific_ko_code_switch	holiday	0.20790000000000006
llama	english	specific_en	exercise	0.9667620689655172
qwen	korean	specific_zh	nationality	0.1576946428571428
qwen	korean	specific_ko	food	0.3818857142857143
llama	english	specific_en	statue	0.9569896551724135
llama	english	specific_ko	music	0.5891607142857144
qwen	korean	specific_ko	connection	0.3539142857142857
llama	korean	specific_en	connection	0.7197327586206896
llama	english	specific_zh_code_switch	exercise	0.39162500000000006
llama	chinese	specific_ko_code_switch	nationality	0.37633928571428543
llama	english	specific_zh_code_switch	show	0.3939107142857144
llama	korean	agnostic	exercise	0.8999947368421055
qwen	korean	specific_ko_code_switch	music	0.6968339285714286
llama	korean	specific_ko	music	0.9202196428571426
qwen	chinese	specific_zh	nationality	0.40268571428571437
qwen	english	specific_ko	exercise	0.1650303571428571
qwen	chinese	specific_en	statue	0.39301896551724147
llama	korean	specific_en	fashion	0.7759103448275863
qwen	chinese	agnostic	statue	0.37960789473684203
llama	korean	specific_zh_code_switch	exercise	0.6002303571428573
llama	english	specific_en	show	0.9774810344827586
qwen	korean	specific_zh_code_switch	statue	0.10624107142857143
qwen	english	specific_ko	food	0.15202321428571428
llama	korean	specific_zh_code_switch	fashion	0.5640124999999999
qwen	korean	agnostic	nationality	0.17821842105263158
llama	chinese	specific_zh	statue	0.9257017857142856
qwen	english	specific_en	fashion	0.6678758620689653
llama	english	specific_zh	holiday	0.4854696428571429
qwen	korean	specific_en	nationality	0.19051724137931034
qwen	english	specific_ko	connection	0.2916071428571428
qwen	chinese	specific_zh_code_switch	show	0.7803267857142855
llama	english	agnostic	nationality	0.9885657894736842
llama	english	specific_zh	food	0.6431499999999998
qwen	english	agnostic	fashion	0.3821631578947368
qwen	chinese	specific_ko_code_switch	statue	0.11672142857142856
qwen	korean	specific_ko	eduction	0.4210232142857143
llama	korean	specific_zh_code_switch	show	0.7125035714285717
llama	korean	specific_zh_code_switch	music	0.5418392857142861
qwen	chinese	specific_ko	exercise	0.1960017857142857
qwen	chinese	specific_ko	connection	0.346075
qwen	chinese	agnostic	nationality	0.2719605263157894
qwen	korean	specific_en	connection	0.28481551724137927
qwen	korean	specific_ko	nationality	0.2508089285714286
llama	chinese	specific_ko	exercise	0.7582624999999997
llama	korean	specific_ko	holiday	0.8612303571428568
qwen	korean	agnostic	food	0.23884210526315786
llama	chinese	specific_ko	eduction	0.8073214285714287
qwen	english	specific_en	exercise	0.650913793103448
qwen	english	specific_zh	exercise	0.07381428571428572
qwen	korean	agnostic	show	0.2668657894736843
llama	english	specific_ko_code_switch	fashion	0.3665392857142858
qwen	korean	specific_zh_code_switch	nationality	0.14388392857142857
qwen	korean	specific_ko_code_switch	connection	0.6870428571428571
llama	english	specific_ko	connection	0.6018249999999998
qwen	korean	specific_ko_code_switch	statue	0.6174571428571428
qwen	chinese	specific_zh	holiday	0.5843767857142855
llama	chinese	specific_ko	music	0.7524785714285712
llama	english	specific_ko_code_switch	statue	0.2757660714285714
qwen	korean	specific_zh	holiday	0.17425357142857137
qwen	chinese	specific_ko_code_switch	holiday	0.10455535714285713
llama	chinese	specific_ko_code_switch	music	0.46845
qwen	english	specific_zh_code_switch	exercise	0.050221428571428584
qwen	english	specific_en	eduction	0.7227068965517242
llama	korean	agnostic	connection	0.898492105263158
llama	chinese	agnostic	eduction	0.9738736842105262
llama	english	specific_zh	eduction	0.6990803571428569
llama	korean	specific_en	exercise	0.7274655172413794
llama	english	specific_zh	statue	0.5524928571428572
qwen	korean	specific_zh	food	0.18066071428571423
qwen	chinese	specific_zh_code_switch	eduction	0.7351553571428572
qwen	english	agnostic	holiday	0.3364263157894736
llama	korean	specific_zh_code_switch	eduction	0.7317178571428571
qwen	english	specific_zh_code_switch	holiday	0.05228392857142859
llama	english	specific_zh	connection	0.5868339285714285
llama	korean	specific_zh	nationality	0.5207964285714285
qwen	chinese	specific_en	food	0.31373103448275863
llama	chinese	specific_zh_code_switch	music	0.9633392857142856
qwen	english	agnostic	music	0.2792368421052631
qwen	english	specific_zh_code_switch	nationality	0.11896607142857143
qwen	chinese	specific_en	connection	0.46617241379310337
qwen	korean	agnostic	music	0.23827894736842106
llama	chinese	specific_en	statue	0.725144827586207
qwen	chinese	specific_ko_code_switch	music	0.08961428571428572
qwen	chinese	agnostic	connection	0.43586315789473684
qwen	english	agnostic	exercise	0.36813421052631573
llama	korean	specific_en	statue	0.7465000000000002
llama	korean	specific_ko	connection	0.9040714285714285
qwen	english	specific_en	show	0.7171965517241378
llama	chinese	agnostic	exercise	0.9026105263157894
llama	english	agnostic	show	0.9911552631578947
llama	english	specific_ko	show	0.7159696428571427
llama	korean	specific_en	holiday	0.5757120689655172
llama	chinese	specific_ko	nationality	0.626451785714286
llama	chinese	specific_en	show	0.6778137931034484
llama	korean	specific_en	eduction	0.8638913793103444
qwen	korean	specific_en	exercise	0.23830344827586208
llama	chinese	specific_zh_code_switch	statue	0.9681517857142854
qwen	chinese	specific_ko_code_switch	exercise	0.09648571428571427
qwen	chinese	specific_zh_code_switch	food	0.6762339285714285
qwen	english	specific_zh_code_switch	connection	0.13032678571428574
qwen	english	specific_en	statue	0.653918965517241
llama	korean	agnostic	statue	0.8470526315789474
llama	korean	specific_zh	show	0.7809089285714285
qwen	english	specific_ko_code_switch	connection	0.04985000000000001
qwen	chinese	specific_ko_code_switch	nationality	0.08816071428571429
llama	chinese	specific_ko	food	0.724094642857143
llama	english	specific_en	holiday	0.9496275862068965
llama	english	specific_ko_code_switch	music	0.28111428571428576
llama	english	agnostic	connection	0.9890710526315789
qwen	english	specific_en	music	0.6444310344827587
llama	chinese	agnostic	food	0.9158394736842105
llama	chinese	specific_ko_code_switch	eduction	0.6201285714285714
llama	chinese	agnostic	statue	0.9410421052631579
qwen	english	specific_ko_code_switch	exercise	0.010176785714285713
qwen	english	agnostic	nationality	0.606278947368421
qwen	chinese	specific_ko	nationality	0.19729464285714288
llama	chinese	agnostic	holiday	0.8175736842105262
qwen	korean	agnostic	eduction	0.4044473684210526
llama	korean	specific_en	nationality	0.6778051724137931
qwen	korean	specific_ko_code_switch	nationality	0.5874196428571429
llama	chinese	specific_zh	eduction	0.9350607142857144
qwen	chinese	specific_ko_code_switch	food	0.08621785714285714
qwen	chinese	specific_zh_code_switch	nationality	0.5691321428571429
qwen	chinese	specific_ko	food	0.21421428571428566
llama	english	specific_ko	nationality	0.6199874999999999
llama	korean	agnostic	eduction	0.942757894736842
qwen	english	specific_zh	holiday	0.08708035714285718
