model	language	cultural	cue	(A) Answerable	(B) Unanswerable	Answerable %
qwen	korean	specific_ko	holiday	18	38	0.32142857142857145
qwen	korean	specific_zh	fashion	11	45	0.19642857142857142
qwen	chinese	specific_ko	music	13	43	0.23214285714285715
llama	english	specific_ko_code_switch	food	9	47	0.16071428571428573
qwen	chinese	agnostic	fashion	11	27	0.2894736842105263
qwen	korean	specific_en	holiday	11	47	0.1896551724137931
qwen	chinese	specific_ko	eduction	17	39	0.30357142857142855
llama	english	agnostic	statue	37	1	0.9736842105263158
llama	english	specific_zh_code_switch	connection	5	51	0.08928571428571429
llama	korean	specific_ko	nationality	46	10	0.8214285714285714
llama	english	specific_ko_code_switch	holiday	6	50	0.10714285714285714
llama	english	specific_en	exercise	55	3	0.9482758620689655
qwen	korean	specific_zh	nationality	11	45	0.19642857142857142
qwen	korean	specific_ko	food	21	35	0.375
llama	english	specific_en	statue	54	4	0.9310344827586207
llama	english	specific_ko	music	30	26	0.5357142857142857
qwen	korean	specific_ko	connection	22	34	0.39285714285714285
llama	korean	specific_en	connection	34	24	0.5862068965517241
llama	english	specific_zh_code_switch	exercise	10	46	0.17857142857142858
llama	chinese	specific_ko_code_switch	nationality	13	43	0.23214285714285715
llama	english	specific_zh_code_switch	show	8	48	0.14285714285714285
llama	korean	agnostic	exercise	37	1	0.9736842105263158
qwen	korean	specific_ko_code_switch	music	37	19	0.6607142857142857
llama	korean	specific_ko	music	54	2	0.9642857142857143
qwen	chinese	specific_zh	nationality	22	34	0.39285714285714285
qwen	english	specific_ko	exercise	8	48	0.14285714285714285
qwen	chinese	specific_en	statue	16	42	0.27586206896551724
llama	korean	specific_en	fashion	40	18	0.6896551724137931
qwen	chinese	agnostic	statue	14	24	0.3684210526315789
llama	korean	specific_zh_code_switch	exercise	25	31	0.44642857142857145
llama	english	specific_en	show	56	2	0.9655172413793104
qwen	korean	specific_zh_code_switch	statue	4	52	0.07142857142857142
qwen	english	specific_ko	food	11	45	0.19642857142857142
llama	korean	specific_zh_code_switch	fashion	21	35	0.375
qwen	korean	agnostic	nationality	6	32	0.15789473684210525
llama	chinese	specific_zh	statue	46	10	0.8214285714285714
qwen	english	specific_en	fashion	35	23	0.603448275862069
llama	english	specific_zh	holiday	17	39	0.30357142857142855
qwen	korean	specific_en	nationality	17	41	0.29310344827586204
qwen	english	specific_ko	connection	15	41	0.26785714285714285
qwen	chinese	specific_zh_code_switch	show	39	17	0.6964285714285714
llama	english	agnostic	nationality	37	1	0.9736842105263158
llama	english	specific_zh	food	29	27	0.5178571428571429
qwen	english	agnostic	fashion	13	25	0.34210526315789475
qwen	chinese	specific_ko_code_switch	statue	4	52	0.07142857142857142
qwen	korean	specific_ko	eduction	22	34	0.39285714285714285
llama	korean	specific_zh_code_switch	show	30	26	0.5357142857142857
llama	korean	specific_zh_code_switch	music	17	39	0.30357142857142855
qwen	chinese	specific_ko	exercise	11	45	0.19642857142857142
qwen	chinese	specific_ko	connection	21	35	0.375
qwen	chinese	agnostic	nationality	8	30	0.21052631578947367
qwen	korean	specific_en	connection	22	36	0.3793103448275862
qwen	korean	specific_ko	nationality	15	41	0.26785714285714285
llama	chinese	specific_ko	exercise	39	17	0.6964285714285714
llama	korean	specific_ko	holiday	49	7	0.875
qwen	korean	agnostic	food	8	30	0.21052631578947367
llama	chinese	specific_ko	eduction	41	15	0.7321428571428571
qwen	english	specific_en	exercise	34	24	0.5862068965517241
qwen	english	specific_zh	exercise	4	52	0.07142857142857142
qwen	korean	agnostic	show	8	30	0.21052631578947367
llama	english	specific_ko_code_switch	fashion	11	45	0.19642857142857142
